preguntas_mes,escenario,etiqueta,tipo,mes,coste_acumulado_eur
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,0,0.0
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,1,0.53
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,2,1.05
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,3,1.58
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,4,2.11
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,5,2.63
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,6,3.16
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,7,3.69
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,8,4.21
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,9,4.74
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,10,5.27
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,11,5.79
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,12,6.32
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,13,6.85
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,14,7.37
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,15,7.9
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,16,8.43
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,17,8.95
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,18,9.48
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,19,10.01
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,20,10.53
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,21,11.06
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,22,11.58
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,23,12.11
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,24,12.64
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,25,13.16
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,26,13.69
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,27,14.22
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,28,14.74
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,29,15.27
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,30,15.8
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,31,16.32
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,32,16.85
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,33,17.38
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,34,17.9
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,35,18.43
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,36,18.96
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,37,19.48
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,38,20.01
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,39,20.54
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,40,21.06
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,41,21.59
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,42,22.12
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,43,22.64
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,44,23.17
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,45,23.7
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,46,24.22
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,47,24.75
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,48,25.28
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,49,25.8
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,50,26.33
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,51,26.86
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,52,27.38
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,53,27.91
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,54,28.44
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,55,28.96
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,56,29.49
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,57,30.02
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,58,30.54
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,59,31.07
1000,api::g25lite,Gemini 2.5 Flash-Lite,api,60,31.6
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,0,0.0
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,1,1.47
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,2,2.94
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,3,4.41
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,4,5.88
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,5,7.35
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,6,8.82
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,7,10.29
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,8,11.76
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,9,13.23
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,10,14.7
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,11,16.17
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,12,17.64
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,13,19.11
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,14,20.58
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,15,22.05
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,16,23.52
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,17,24.99
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,18,26.46
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,19,27.93
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,20,29.4
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,21,30.87
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,22,32.34
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,23,33.81
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,24,35.28
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,25,36.75
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,26,38.22
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,27,39.69
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,28,41.16
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,29,42.63
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,30,44.1
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,31,45.57
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,32,47.05
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,33,48.52
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,34,49.99
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,35,51.46
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,36,52.93
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,37,54.4
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,38,55.87
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,39,57.34
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,40,58.81
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,41,60.28
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,42,61.75
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,43,63.22
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,44,64.69
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,45,66.16
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,46,67.63
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,47,69.1
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,48,70.57
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,49,72.04
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,50,73.51
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,51,74.98
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,52,76.45
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,53,77.92
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,54,79.39
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,55,80.86
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,56,82.33
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,57,83.8
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,58,85.27
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,59,86.74
1000,api::g31lite,Gemini 3.1 Flash-Lite,api,60,88.21
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,0,0.0
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,1,1.98
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,2,3.96
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,3,5.94
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,4,7.92
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,5,9.9
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,6,11.88
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,7,13.86
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,8,15.83
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,9,17.81
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,10,19.79
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,11,21.77
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,12,23.75
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,13,25.73
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,14,27.71
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,15,29.69
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,16,31.67
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,17,33.65
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,18,35.63
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,19,37.61
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,20,39.59
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,21,41.57
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,22,43.55
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,23,45.53
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,24,47.5
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,25,49.48
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,26,51.46
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,27,53.44
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,28,55.42
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,29,57.4
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,30,59.38
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,31,61.36
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,32,63.34
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,33,65.32
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,34,67.3
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,35,69.28
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,36,71.26
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,37,73.24
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,38,75.22
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,39,77.19
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,40,79.17
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,41,81.15
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,42,83.13
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,43,85.11
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,44,87.09
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,45,89.07
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,46,91.05
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,47,93.03
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,48,95.01
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,49,96.99
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,50,98.97
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,51,100.95
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,52,102.93
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,53,104.91
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,54,106.89
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,55,108.86
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,56,110.84
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,57,112.82
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,58,114.8
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,59,116.78
1000,api::g35lite,Gemini 3.5 Flash-Lite,api,60,118.76
1000,api::g36flash,Gemini 3.6 Flash,api,0,0.0
1000,api::g36flash,Gemini 3.6 Flash,api,1,4.18
1000,api::g36flash,Gemini 3.6 Flash,api,2,8.36
1000,api::g36flash,Gemini 3.6 Flash,api,3,12.54
1000,api::g36flash,Gemini 3.6 Flash,api,4,16.72
1000,api::g36flash,Gemini 3.6 Flash,api,5,20.9
1000,api::g36flash,Gemini 3.6 Flash,api,6,25.08
1000,api::g36flash,Gemini 3.6 Flash,api,7,29.26
1000,api::g36flash,Gemini 3.6 Flash,api,8,33.44
1000,api::g36flash,Gemini 3.6 Flash,api,9,37.62
1000,api::g36flash,Gemini 3.6 Flash,api,10,41.8
1000,api::g36flash,Gemini 3.6 Flash,api,11,45.98
1000,api::g36flash,Gemini 3.6 Flash,api,12,50.16
1000,api::g36flash,Gemini 3.6 Flash,api,13,54.34
1000,api::g36flash,Gemini 3.6 Flash,api,14,58.52
1000,api::g36flash,Gemini 3.6 Flash,api,15,62.7
1000,api::g36flash,Gemini 3.6 Flash,api,16,66.88
1000,api::g36flash,Gemini 3.6 Flash,api,17,71.06
1000,api::g36flash,Gemini 3.6 Flash,api,18,75.24
1000,api::g36flash,Gemini 3.6 Flash,api,19,79.42
1000,api::g36flash,Gemini 3.6 Flash,api,20,83.6
1000,api::g36flash,Gemini 3.6 Flash,api,21,87.78
1000,api::g36flash,Gemini 3.6 Flash,api,22,91.96
1000,api::g36flash,Gemini 3.6 Flash,api,23,96.14
1000,api::g36flash,Gemini 3.6 Flash,api,24,100.32
1000,api::g36flash,Gemini 3.6 Flash,api,25,104.5
1000,api::g36flash,Gemini 3.6 Flash,api,26,108.68
1000,api::g36flash,Gemini 3.6 Flash,api,27,112.86
1000,api::g36flash,Gemini 3.6 Flash,api,28,117.04
1000,api::g36flash,Gemini 3.6 Flash,api,29,121.22
1000,api::g36flash,Gemini 3.6 Flash,api,30,125.4
1000,api::g36flash,Gemini 3.6 Flash,api,31,129.58
1000,api::g36flash,Gemini 3.6 Flash,api,32,133.76
1000,api::g36flash,Gemini 3.6 Flash,api,33,137.94
1000,api::g36flash,Gemini 3.6 Flash,api,34,142.12
1000,api::g36flash,Gemini 3.6 Flash,api,35,146.3
1000,api::g36flash,Gemini 3.6 Flash,api,36,150.48
1000,api::g36flash,Gemini 3.6 Flash,api,37,154.66
1000,api::g36flash,Gemini 3.6 Flash,api,38,158.84
1000,api::g36flash,Gemini 3.6 Flash,api,39,163.02
1000,api::g36flash,Gemini 3.6 Flash,api,40,167.2
1000,api::g36flash,Gemini 3.6 Flash,api,41,171.38
1000,api::g36flash,Gemini 3.6 Flash,api,42,175.56
1000,api::g36flash,Gemini 3.6 Flash,api,43,179.74
1000,api::g36flash,Gemini 3.6 Flash,api,44,183.92
1000,api::g36flash,Gemini 3.6 Flash,api,45,188.1
1000,api::g36flash,Gemini 3.6 Flash,api,46,192.28
1000,api::g36flash,Gemini 3.6 Flash,api,47,196.46
1000,api::g36flash,Gemini 3.6 Flash,api,48,200.64
1000,api::g36flash,Gemini 3.6 Flash,api,49,204.82
1000,api::g36flash,Gemini 3.6 Flash,api,50,209.0
1000,api::g36flash,Gemini 3.6 Flash,api,51,213.18
1000,api::g36flash,Gemini 3.6 Flash,api,52,217.36
1000,api::g36flash,Gemini 3.6 Flash,api,53,221.54
1000,api::g36flash,Gemini 3.6 Flash,api,54,225.72
1000,api::g36flash,Gemini 3.6 Flash,api,55,229.9
1000,api::g36flash,Gemini 3.6 Flash,api,56,234.08
1000,api::g36flash,Gemini 3.6 Flash,api,57,238.26
1000,api::g36flash,Gemini 3.6 Flash,api,58,242.44
1000,api::g36flash,Gemini 3.6 Flash,api,59,246.62
1000,api::g36flash,Gemini 3.6 Flash,api,60,250.8
1000,api::gpt54mini,GPT-5.4 mini,api,0,0.0
1000,api::gpt54mini,GPT-5.4 mini,api,1,4.41
1000,api::gpt54mini,GPT-5.4 mini,api,2,8.82
1000,api::gpt54mini,GPT-5.4 mini,api,3,13.23
1000,api::gpt54mini,GPT-5.4 mini,api,4,17.64
1000,api::gpt54mini,GPT-5.4 mini,api,5,22.05
1000,api::gpt54mini,GPT-5.4 mini,api,6,26.46
1000,api::gpt54mini,GPT-5.4 mini,api,7,30.87
1000,api::gpt54mini,GPT-5.4 mini,api,8,35.28
1000,api::gpt54mini,GPT-5.4 mini,api,9,39.69
