preguntas_mes,opcion_local,alternativa,proveedor,gama,capex_local_eur,coste_mensual_local_eur,coste_mensual_alternativa_eur,breakeven_meses,ahorro_a_60_meses_eur,nota
1000,Estación RTX 5090,Claude Opus 5,Anthropic,frontera,7500,41.39,27.87,,-8311.58,la alternativa cuesta menos al mes
1000,Estación RTX 5090,Claude Sonnet 5,Anthropic,intermedia,7500,41.39,11.15,,-9314.77,la alternativa cuesta menos al mes
1000,Estación RTX 5090,Claude Haiku 4.5,Anthropic,entrada,7500,41.39,5.57,,-9649.16,la alternativa cuesta menos al mes
1000,Estación RTX 5090,Gemini 3.6 Flash,Google,intermedia,7500,41.39,4.18,,-9732.76,la alternativa cuesta menos al mes
1000,Estación RTX 5090,Gemini 3.5 Flash-Lite,Google,entrada,7500,41.39,1.98,,-9864.8,la alternativa cuesta menos al mes
1000,Estación RTX 5090,Gemini 3.1 Flash-Lite,Google,entrada,7500,41.39,1.47,,-9895.35,la alternativa cuesta menos al mes
1000,Estación RTX 5090,Gemini 2.5 Flash-Lite,Google,entrada,7500,41.39,0.53,,-9951.96,la alternativa cuesta menos al mes
1000,Estación RTX 5090,GPT-5.4 mini,OpenAI,intermedia,7500,41.39,4.41,,-9718.93,la alternativa cuesta menos al mes
1000,Estación RTX 5090,GPT-5.6 luna,OpenAI,entrada,7500,41.39,1.18,,-9912.99,la alternativa cuesta menos al mes
1000,Estación RTX 5090,GPT-5 mini,OpenAI,entrada,7500,41.39,1.62,,-9886.13,la alternativa cuesta menos al mes
1000,Estación RTX 5090,GPT-5 nano,OpenAI,entrada,7500,41.39,0.32,,-9964.07,la alternativa cuesta menos al mes
1000,Estación RTX 5090,GPU alquilada (bajo coste),IaaS,alquiler,7500,41.39,396.0,21.2,13776.44,
1000,Estación RTX 5090,GPU alquilada (proveedor mayor),IaaS,alquiler,7500,41.39,1044.0,7.5,52656.44,
1000,Servidor 1× PRO 6000,Claude Opus 5,Anthropic,frontera,12500,67.24,27.87,,-14862.24,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,Claude Sonnet 5,Anthropic,intermedia,12500,67.24,11.15,,-15865.42,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,Claude Haiku 4.5,Anthropic,entrada,12500,67.24,5.57,,-16199.82,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,Gemini 3.6 Flash,Google,intermedia,12500,67.24,4.18,,-16283.42,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,Gemini 3.5 Flash-Lite,Google,entrada,12500,67.24,1.98,,-16415.45,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,Gemini 3.1 Flash-Lite,Google,entrada,12500,67.24,1.47,,-16446.0,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,Gemini 2.5 Flash-Lite,Google,entrada,12500,67.24,0.53,,-16502.62,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,GPT-5.4 mini,OpenAI,intermedia,12500,67.24,4.41,,-16269.59,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,GPT-5.6 luna,OpenAI,entrada,12500,67.24,1.18,,-16463.65,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,GPT-5 mini,OpenAI,entrada,12500,67.24,1.62,,-16436.78,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,GPT-5 nano,OpenAI,entrada,12500,67.24,0.32,,-16514.73,la alternativa cuesta menos al mes
1000,Servidor 1× PRO 6000,GPU alquilada (bajo coste),IaaS,alquiler,12500,67.24,396.0,38.0,7225.79,
1000,Servidor 1× PRO 6000,GPU alquilada (proveedor mayor),IaaS,alquiler,12500,67.24,1044.0,12.8,46105.79,
5000,Estación RTX 5090,Claude Opus 5,Anthropic,frontera,7500,41.75,139.33,76.9,-1645.4,
5000,Estación RTX 5090,Claude Sonnet 5,Anthropic,intermedia,7500,41.75,55.73,536.6,-6661.33,
5000,Estación RTX 5090,Claude Haiku 4.5,Anthropic,entrada,7500,41.75,27.87,,-8333.31,la alternativa cuesta menos al mes
5000,Estación RTX 5090,Gemini 3.6 Flash,Google,intermedia,7500,41.75,20.9,,-8751.3,la alternativa cuesta menos al mes
5000,Estación RTX 5090,Gemini 3.5 Flash-Lite,Google,entrada,7500,41.75,9.9,,-9411.48,la alternativa cuesta menos al mes
5000,Estación RTX 5090,Gemini 3.1 Flash-Lite,Google,entrada,7500,41.75,7.35,,-9564.24,la alternativa cuesta menos al mes
5000,Estación RTX 5090,Gemini 2.5 Flash-Lite,Google,entrada,7500,41.75,2.63,,-9847.31,la alternativa cuesta menos al mes
5000,Estación RTX 5090,GPT-5.4 mini,OpenAI,intermedia,7500,41.75,22.05,,-8682.14,la alternativa cuesta menos al mes
5000,Estación RTX 5090,GPT-5.6 luna,OpenAI,entrada,7500,41.75,5.88,,-9652.45,la alternativa cuesta menos al mes
5000,Estación RTX 5090,GPT-5 mini,OpenAI,entrada,7500,41.75,8.12,,-9518.13,la alternativa cuesta menos al mes
5000,Estación RTX 5090,GPT-5 nano,OpenAI,entrada,7500,41.75,1.62,,-9907.85,la alternativa cuesta menos al mes
5000,Estación RTX 5090,GPU alquilada (bajo coste),IaaS,alquiler,7500,41.75,396.0,21.2,13754.72,
5000,Estación RTX 5090,GPU alquilada (proveedor mayor),IaaS,alquiler,7500,41.75,1044.0,7.5,52634.72,
5000,Servidor 1× PRO 6000,Claude Opus 5,Anthropic,frontera,12500,67.54,139.33,174.1,-8192.43,
5000,Servidor 1× PRO 6000,Claude Sonnet 5,Anthropic,intermedia,12500,67.54,55.73,,-13208.36,la alternativa cuesta menos al mes
5000,Servidor 1× PRO 6000,Claude Haiku 4.5,Anthropic,entrada,12500,67.54,27.87,,-14880.34,la alternativa cuesta menos al mes
5000,Servidor 1× PRO 6000,Gemini 3.6 Flash,Google,intermedia,12500,67.54,20.9,,-15298.33,la alternativa cuesta menos al mes
5000,Servidor 1× PRO 6000,Gemini 3.5 Flash-Lite,Google,entrada,12500,67.54,9.9,,-15958.51,la alternativa cuesta menos al mes
5000,Servidor 1× PRO 6000,Gemini 3.1 Flash-Lite,Google,entrada,12500,67.54,7.35,,-16111.26,la alternativa cuesta menos al mes
5000,Servidor 1× PRO 6000,Gemini 2.5 Flash-Lite,Google,entrada,12500,67.54,2.63,,-16394.33,la alternativa cuesta menos al mes
5000,Servidor 1× PRO 6000,GPT-5.4 mini,OpenAI,intermedia,12500,67.54,22.05,,-15229.17,la alternativa cuesta menos al mes
5000,Servidor 1× PRO 6000,GPT-5.6 luna,OpenAI,entrada,12500,67.54,5.88,,-16199.47,la alternativa cuesta menos al mes
5000,Servidor 1× PRO 6000,GPT-5 mini,OpenAI,entrada,12500,67.54,8.12,,-16065.16,la alternativa cuesta menos al mes
5000,Servidor 1× PRO 6000,GPT-5 nano,OpenAI,entrada,12500,67.54,1.62,,-16454.88,la alternativa cuesta menos al mes
5000,Servidor 1× PRO 6000,GPU alquilada (bajo coste),IaaS,alquiler,12500,67.54,396.0,38.1,7207.69,
5000,Servidor 1× PRO 6000,GPU alquilada (proveedor mayor),IaaS,alquiler,12500,67.54,1044.0,12.8,46087.69,
20000,Estación RTX 5090,Claude Opus 5,Anthropic,frontera,7500,43.11,557.33,14.6,23352.76,
20000,Estación RTX 5090,Claude Sonnet 5,Anthropic,intermedia,7500,43.11,222.93,41.7,3289.05,
20000,Estación RTX 5090,Claude Haiku 4.5,Anthropic,entrada,7500,43.11,111.47,109.7,-3398.85,
