fichero,carpeta,fecha,ground_truth,modelo_gen,coleccion,rerank,top_k,n_preguntas,tokens_entrada,tokens_salida,seg_generacion,seg_total,en_libro_mayor,n_consultas_log_ventana,derivado_de
eval/2026-05-19/results_LPP2013_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-06-13_152054.json,eval/2026-05-19,2026-06-13T15:20:54,LPP2013_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,36,393932,14267,361.5,1246.8,False,0,
eval/2026-05-19/results_LPP2013_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-06-13_131615.json,eval/2026-05-19,2026-06-13T13:16:15,LPP2013_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,36,281181,14648,347.5,678.8,False,0,
eval/2026-05-19/results_LPP2013_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-06-13_141450.json,eval/2026-05-19,2026-06-13T14:14:50,LPP2013_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,36,291437,14183,346.8,633.1,False,0,
eval/2026-05-19/results_PA02_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-20_215731.json,eval/2026-05-19,2026-05-20T21:57:31,PA02_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,15,66476,5436,135.6,452.3,False,0,
eval/2026-05-19/results_PA02_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_175215.json,eval/2026-05-19,2026-05-20T17:52:15,PA02_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,15,59434,4184,124.8,254.6,False,0,
eval/2026-05-19/results_PA02_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_195636.json,eval/2026-05-19,2026-05-20T19:56:36,PA02_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,15,60324,4760,128.6,246.8,False,0,
eval/2026-05-19/results_PA06_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-20_220600.json,eval/2026-05-19,2026-05-20T22:06:00,PA06_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,16,92486,4518,139.0,508.1,False,0,
eval/2026-05-19/results_PA06_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_175652.json,eval/2026-05-19,2026-05-20T17:56:52,PA06_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,16,78597,3994,132.4,275.9,False,0,
eval/2026-05-19/results_PA06_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_200052.json,eval/2026-05-19,2026-05-20T20:00:52,PA06_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,16,75081,4023,131.6,254.5,False,0,
eval/2026-05-19/results_PA121_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-06-13_153308.json,eval/2026-05-19,2026-06-13T15:33:08,PA121_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,28,93211,10044,243.0,731.3,False,0,
eval/2026-05-19/results_PA121_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-06-13_132415.json,eval/2026-05-19,2026-06-13T13:24:15,PA121_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,28,70009,8333,226.8,477.2,False,0,
eval/2026-05-19/results_PA121_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-06-13_142224.json,eval/2026-05-19,2026-06-13T14:22:24,PA121_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,28,75131,8299,228.2,451.9,False,0,
eval/2026-05-19/results_PA178_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-20_222010.json,eval/2026-05-19,2026-05-20T22:20:10,PA178_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,26,176953,11080,252.3,848.2,False,0,
eval/2026-05-19/results_PA178_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_180458.json,eval/2026-05-19,2026-05-20T18:04:58,PA178_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,26,159133,10681,249.8,483.7,False,0,
eval/2026-05-19/results_PA178_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_200823.json,eval/2026-05-19,2026-05-20T20:08:23,PA178_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,26,164685,10255,247.4,448.9,False,0,
eval/2026-05-19/results_PA17_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-20_223221.json,eval/2026-05-19,2026-05-20T22:32:21,PA17_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,30,127617,10027,260.7,727.9,False,0,
eval/2026-05-19/results_PA17_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_181341.json,eval/2026-05-19,2026-05-20T18:13:41,PA17_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,30,109140,9749,256.1,520.6,False,0,
eval/2026-05-19/results_PA17_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_201638.json,eval/2026-05-19,2026-05-20T20:16:38,PA17_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,30,109280,9447,256.9,492.3,False,0,
eval/2026-05-19/results_PA195_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-20_224438.json,eval/2026-05-19,2026-05-20T22:44:38,PA195_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,30,96887,12200,270.8,734.0,False,0,
eval/2026-05-19/results_PA195_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_182233.json,eval/2026-05-19,2026-05-20T18:22:33,PA195_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,30,102087,11296,265.9,529.3,False,0,
eval/2026-05-19/results_PA195_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_202506.json,eval/2026-05-19,2026-05-20T20:25:06,PA195_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,30,115551,11485,272.3,505.8,False,0,
eval/2026-05-19/results_PA199_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-20_225853.json,eval/2026-05-19,2026-05-20T22:58:53,PA199_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,28,135694,11519,264.1,852.7,False,0,
eval/2026-05-19/results_PA199_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_183052.json,eval/2026-05-19,2026-05-20T18:30:52,PA199_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,28,104142,10139,248.5,496.6,False,0,
eval/2026-05-19/results_PA199_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_203301.json,eval/2026-05-19,2026-05-20T20:33:01,PA199_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,28,117635,10354,251.4,472.7,False,0,
eval/2026-05-19/results_PA201_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-20_230612.json,eval/2026-05-19,2026-05-20T23:06:12,PA201_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,18,66945,7037,162.7,437.9,False,0,
eval/2026-05-19/results_PA201_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_183618.json,eval/2026-05-19,2026-05-20T18:36:18,PA201_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,18,57135,7712,166.9,324.0,False,0,
eval/2026-05-19/results_PA201_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_203813.json,eval/2026-05-19,2026-05-20T20:38:13,PA201_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,18,59681,8154,170.6,310.8,False,0,
eval/2026-05-19/results_PA26_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-20_231707.json,eval/2026-05-19,2026-05-20T23:17:07,PA26_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,25,120399,7156,213.4,653.5,False,0,
eval/2026-05-19/results_PA26_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_184321.json,eval/2026-05-19,2026-05-20T18:43:21,PA26_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,25,88931,6137,199.5,420.3,False,0,
eval/2026-05-19/results_PA26_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_204456.json,eval/2026-05-19,2026-05-20T20:44:56,PA26_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,25,87486,6812,205.3,400.8,False,0,
eval/2026-05-19/results_PA46_grounf_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-20_233814.json,eval/2026-05-19,2026-05-20T23:38:14,PA46_grounf_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,40,276442,16419,391.0,1262.8,False,0,
eval/2026-05-19/results_PA46_grounf_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_185528.json,eval/2026-05-19,2026-05-20T18:55:28,PA46_grounf_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,40,206520,14787,368.4,723.8,False,0,
eval/2026-05-19/results_PA46_grounf_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_205618.json,eval/2026-05-19,2026-05-20T20:56:18,PA46_grounf_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,40,205996,14033,362.7,678.7,False,0,
eval/2026-05-19/results_PC08_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-20_235333.json,eval/2026-05-19,2026-05-20T23:53:33,PC08_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,29,163900,14736,299.8,916.5,False,0,
eval/2026-05-19/results_PC08_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_190441.json,eval/2026-05-19,2026-05-20T19:04:41,PC08_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,29,146718,14261,289.3,551.0,False,0,
eval/2026-05-19/results_PC08_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_210450.json,eval/2026-05-19,2026-05-20T21:04:50,PC08_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,29,144683,13337,283.3,510.4,False,0,
eval/2026-05-19/results_PC67_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-21_000808.json,eval/2026-05-19,2026-05-21T00:08:08,PC67_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,30,143515,10186,269.9,872.6,False,0,
eval/2026-05-19/results_PC67_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_191335.json,eval/2026-05-19,2026-05-20T19:13:35,PC67_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,30,132527,10385,266.9,531.5,False,0,
eval/2026-05-19/results_PC67_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_211321.json,eval/2026-05-19,2026-05-20T21:13:21,PC67_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,30,155337,10738,274.4,508.7,False,0,
eval/2026-05-19/results_PC73_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-21_002129.json,eval/2026-05-19,2026-05-21T00:21:29,PC73_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,30,93549,10168,257.2,799.1,False,0,
eval/2026-05-19/results_PC73_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_192224.json,eval/2026-05-19,2026-05-20T19:22:24,PC73_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,30,98393,11194,265.9,526.3,False,0,
eval/2026-05-19/results_PC73_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_212142.json,eval/2026-05-19,2026-05-20T21:21:42,PC73_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,30,103550,11372,265.0,498.9,False,0,
eval/2026-05-19/results_PE27_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-21_003707.json,eval/2026-05-19,2026-05-21T00:37:07,PE27_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,30,183161,12968,293.8,934.8,False,0,
eval/2026-05-19/results_PE27_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_193141.json,eval/2026-05-19,2026-05-20T19:31:41,PE27_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,30,163028,11887,282.2,553.4,False,0,
eval/2026-05-19/results_PE27_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_213027.json,eval/2026-05-19,2026-05-20T21:30:27,PE27_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,30,162531,12358,285.2,522.6,False,0,
eval/2026-05-19/results_PO05_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-06-13_154842.json,eval/2026-05-19,2026-06-13T15:48:42,PO05_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,30,155503,9877,262.7,931.8,False,0,
eval/2026-05-19/results_PO05_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-06-13_133302.json,eval/2026-05-19,2026-06-13T13:33:02,PO05_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,30,142382,8727,254.5,524.7,False,0,
eval/2026-05-19/results_PO05_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-06-13_143044.json,eval/2026-05-19,2026-06-13T14:30:44,PO05_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,30,139318,9046,255.4,497.1,False,0,
eval/2026-05-19/results_PO108_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-05-21_005239.json,eval/2026-05-19,2026-05-21T00:52:39,PO108_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,30,173668,10923,277.9,929.2,False,0,
eval/2026-05-19/results_PO108_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-05-20_194035.json,eval/2026-05-19,2026-05-20T19:40:35,PO108_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,30,126675,11178,269.8,531.9,False,0,
eval/2026-05-19/results_PO108_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-05-20_213854.json,eval/2026-05-19,2026-05-20T21:38:54,PO108_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,30,133242,10957,269.6,504.4,False,0,
eval/2026-05-19/results_PO19_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-06-13_160249.json,eval/2026-05-19,2026-06-13T16:02:49,PO19_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,30,189851,8430,257.3,845.0,False,0,
eval/2026-05-19/results_PO19_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-06-13_134202.json,eval/2026-05-19,2026-06-13T13:42:02,PO19_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,30,165049,8721,257.1,536.8,False,0,
eval/2026-05-19/results_PO19_ground_truth_gen_gemma4-26b_rrf_only_anchor-on_2026-06-13_143908.json,eval/2026-05-19,2026-06-13T14:39:08,PO19_ground_truth.json,gemma4:26b,docs_rag_qwen3,rrf_only,5,30,176622,9192,260.6,501.1,False,0,
eval/2026-05-19/results_PTP2_ground_truth_gen_gemma4-26b_cross_encoder_anchor-on_2026-06-13_162626.json,eval/2026-05-19,2026-06-13T16:26:26,PTP2_ground_truth.json,gemma4:26b,docs_rag_qwen3,cross_encoder,5,45,236528,12629,379.6,1412.6,False,0,
eval/2026-05-19/results_PTP2_ground_truth_gen_gemma4-26b_embed_anchor-on_2026-06-13_135500.json,eval/2026-05-19,2026-06-13T13:55:00,PTP2_ground_truth.json,gemma4:26b,docs_rag_qwen3,embed,5,45,185840,11849,368.2,773.7,False,0,
